fin_Company,Market Cap,Trailing P/E,Price/Book (mrq),Most Recent Quarter (mrq),Profit Margin,Op_Margin,ROA,ROE,Diluted EPS,Operating_CashFlow,Total Debt/Equity (mrq),PayoutRat,Stock Price,ESG
Sanofi (SNY),130.14B,19.14,2.05,"Jun 29, 2021",15.47%,21.51%,4.43%,9.22%,2.71,8.28B,34.17,69.13%,51.84,
Enel Chile S.A. (ENIC),3.4B,6.15,0.64,"Jun 29, 2021",13.35%,0.00%,4.75%,11.26%,0.4000,N/A,93.77,62.04%,2.4600,
AbbVie Inc. (ABBV),212.77B,32.47,16.93,"Jun 29, 2021",12.40%,35.17%,7.94%,48.86%,3.71,20.45B,652.34,134.05%,120.40,29
"Cisco Systems, Inc. (CSCO)",249.48B,23.68,6.05,"Jul 30, 2021",21.26%,27.63%,8.95%,26.75%,2.50,15.45B,27.92,58.40%,59.20,12
Zurich Insurance Group AG Nam.A (ZFI1.SG),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.00,
The Bank of Nova Scotia (BNS),77.74B,11.09,1.11,"Apr 29, 2021",29.69%,38.36%,0.68%,11.45%,5.68,-70.71B,N/A,58.06%,62.99,20
Commonwealth Bank of Australia (CMWAY),129.83B,18.65,1.65,"Jun 29, 2021",42.47%,54.88%,0.84%,11.74%,3.93,-19.88B,N/A,51.62%,73.25,
BHP Group (BHP),165.4B,14.54,3.20,"Jun 29, 2021",18.59%,47.95%,17.06%,24.94%,4.46,27.23B,39.80,69.96%,64.83,
UBS Group AG (UBS),58.18B,8.15,0.99,"Jun 29, 2021",21.80%,27.40%,0.70%,13.04%,2.05,-37.04B,N/A,35.85%,16.73,25
British American Tobacco p.l.c. (BTI),84.72B,9.97,1.34,"Jun 29, 2021",24.12%,43.64%,4.84%,9.58%,3.70,8.56B,71.25,79.29%,36.92,
"Honda Motor Co., Ltd. (HMC)",50.75B,5.81,0.01,"Jun 29, 2021",6.57%,6.95%,3.02%,11.42%,5.06,1.15T,80.38,17.65%,29.39,
iSpecimen Inc. (ISPC),42.3M,N/A,3.76,"Jun 29, 2021",-75.66%,-38.10%,N/A,N/A,-7.42,-3.61M,28.09,0.00%,6.11,
,,,,,,,,,,,,,,
"Sumitomo Mitsui Financial Group, Inc. (SMFG)",47.28B,6.47,0.00,"Jun 29, 2021",27.56%,38.51%,0.35%,7.17%,1.07,N/A,N/A,41.53%,6.90,
Rio Tinto Group (RIO),119.85B,6.42,2.26,"Jun 29, 2021",32.17%,47.36%,18.37%,39.32%,11.52,23.91B,23.22,40.27%,74.02,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Anthem, Inc. (ANTM)",90.99B,21.90,2.58,"Jun 29, 2021",3.27%,5.85%,5.13%,12.20%,16.90,6.85B,69.10,24.36%,370.07,12
,,,,,,,,,,,,,,
Unilever PLC (UL),144.76B,23.02,8.54,"Jun 29, 2021",10.67%,17.98%,8.10%,31.46%,2.42,8.57B,141.54,80.55%,55.74,
Dell Technologies Inc. (DELL),77.55B,19.74,22.25,"Apr 29, 2021",4.13%,5.76%,2.88%,72.06%,5.14,14.44B,569.70,0.00%,101.55,16
Manulife Holdings Berhad (1058.KL),475.57M,15.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.3500,
"Hon Hai Precision Industry Co., Ltd. (HNHPF)",52.94B,11.05,0.04,"Jun 29, 2021",2.25%,2.40%,2.77%,10.69%,0.69,205.58B,55.53,43.25%,7.60,
American Express Company (AXP),131.49B,19.25,5.17,"Jun 29, 2021",18.42%,22.81%,3.74%,30.15%,8.60,11.14B,153.98,20.00%,165.51,19
"China Vanke Co., Ltd. (CHVKF)",37.46B,5.41,0.15,"Mar 30, 2021",9.58%,16.11%,2.39%,18.86%,0.5550,73.02B,78.57,27.93%,3.0000,20
GlaxoSmithKline plc (GSK),103.02B,17.13,6.67,"Jun 29, 2021",13.34%,24.85%,6.32%,24.29%,2.39,6.34B,118.10,91.41%,40.95,
,,,,,,,,,,,,,,
Public Joint Stock Company Rosneft Oil Company (OJSCY),68.61B,6.81,0.01,"Jun 29, 2021",10.02%,8.57%,2.43%,13.69%,0.92,1.81T,73.15,10.36%,6.23,
China State Construction Engineering Corporation Limited (601668.SS),198.41B,4.07,0.64,"Mar 31, 2021",2.76%,5.84%,2.94%,13.85%,1.1630,65.47B,92.59,15.95%,4.7300,
"JD.com, Inc. (JD)",119.58B,21.87,0.55,"Jun 29, 2021",4.24%,0.62%,0.80%,17.75%,3.52,38.85B,12.23,0.00%,77.04,
The Coca-Cola Company (KO),239.75B,29.68,10.77,"Jul 01, 2021",22.19%,31.48%,7.75%,37.26%,1.87,12.58B,173.39,88.77%,55.54,25
The Coca-Cola Company (KO),239.75B,29.68,10.77,"Jul 01, 2021",22.19%,31.48%,7.75%,37.26%,1.87,12.58B,173.39,88.77%,55.54,25
The Coca-Cola Company (KO),239.75B,29.68,10.77,"Jul 01, 2021",22.19%,31.48%,7.75%,37.26%,1.87,12.58B,173.39,88.77%,55.54,25
The Coca-Cola Company (KO),239.75B,29.68,10.77,"Jul 01, 2021",22.19%,31.48%,7.75%,37.26%,1.87,12.58B,173.39,88.77%,55.54,25
KDDI Corporation (KDDIY),69.82B,11.68,0.01,"Jun 29, 2021",12.27%,19.23%,6.48%,14.12%,1.32,1.46T,32.65,41.68%,15.36,
Bank of Montreal (BMO),65.2B,11.82,1.29,"Jul 30, 2021",28.28%,37.38%,0.74%,12.79%,8.51,-32.48B,N/A,46.54%,100.60,17
Costco Wholesale Corporation (COST),198.63B,42.23,12.05,"May 08, 2021",2.53%,3.72%,7.97%,28.02%,10.64,10.26B,60.26,27.16%,449.31,23
Itaú Unibanco Holding S.A. (ITUB),56.04B,10.61,0.39,"Jun 29, 2021",25.37%,42.73%,1.44%,19.00%,0.54,-64.92B,N/A,20.24%,5.73,
State Bank of India (SBKFF),50.1B,14.07,0.02,"Jun 29, 2021",13.58%,15.62%,0.57%,9.33%,3.78,N/A,N/A,13.92%,53.18,
Chubb Limited (CB),81.9B,10.21,1.35,"Jun 29, 2021",20.94%,19.14%,2.47%,14.24%,18.05,11.32B,32.47,17.36%,184.31,24
Mitsubishi Corporation (MSBHF),45.27B,14.94,0.01,"Jun 29, 2021",2.31%,2.15%,1.02%,4.52%,1.99,845.86B,110.46,30.66%,29.69,22
Vale S.A. (VALE),94.02B,5.54,0.45,"Jun 29, 2021",30.99%,57.67%,22.57%,45.58%,3.39,139.43B,45.64,49.49%,18.77,
Capital One Financial Corporation (COF),76.57B,6.85,1.32,"Jun 29, 2021",38.68%,51.72%,2.80%,19.62%,25.06,13.18B,N/A,3.98%,171.63,23
"The PNC Financial Services Group, Inc. (PNC)",81.17B,14.50,1.59,"Jun 29, 2021",32.92%,39.06%,1.17%,10.99%,13.17,4.52B,N/A,34.90%,191.00,22
HDFC Bank Limited (HDB),142.56B,193.12,0.39,"Jun 29, 2021",40.83%,54.85%,N/A,16.58%,0.40,N/A,N/A,10.68%,77.25,
CREDIT AGRICOLE (ACA.TI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.19,
ITOCHU Corporation (ITOCY),44.15B,8.59,0.01,"Jun 29, 2021",5.18%,4.45%,2.74%,15.24%,6.90,823.47B,99.74,23.30%,59.29,
,,,,,,,,,,,,,,
Vodafone Group Plc (VOD),47.01B,424.63,0.86,"Mar 30, 2021",0.26%,9.32%,1.58%,0.89%,0.04,17.22B,124.99,"2,408.43%",16.99,
Abbott Laboratories (ABT),222.77B,35.40,6.59,"Jun 29, 2021",15.85%,20.31%,7.19%,19.66%,3.55,10.63B,54.37,45.63%,125.56,30
,,,,,,,,,,,,,,
